Lemma,Word_Type,Category,Primary_subcategory
nachgiebig,a,inclusive,communal
nachhaltig,a,inclusive,communal
nähren,v,inclusive,communal
nährend,a,inclusive,communal
nett,a,inclusive,communal
Neugier,s,inclusive,communal
neugierig,a,inclusive,communal
offenherzig,a,inclusive,communal
partnerschaftlich,a,inclusive,communal
Perspektive,s,inclusive,communal
Pflege,s,inclusive,communal
pflegen,v,inclusive,communal
präzise,a,inclusive,communal
präzisieren,v,inclusive,communal
Präzision,s,inclusive,communal
resilient,a,inclusive,communal
Resilienz,s,inclusive,communal
Respekt,s,inclusive,communal
respektvoll,a,inclusive,communal
rücksichtsvoll,a,inclusive,communal
ruhig,a,inclusive,communal
sanft,a,inclusive,communal
Schaffensfreude,s,inclusive,communal
schöpferisch,a,inclusive,communal
Schulterschluss,s,inclusive,communal
seelisch,a,inclusive,communal
sensibel,a,inclusive,communal
sinnvoll,a,inclusive,communal
Sorge,s,inclusive,communal
sorgen,v,inclusive,communal
Sorgfalt,s,inclusive,communal
sorgfältig,a,inclusive,communal
sorgsam,a,inclusive,communal
Sorgsamkeit,s,inclusive,communal
Sympathie,s,inclusive,communal
sympathisch,a,inclusive,communal
taktvoll,a,inclusive,communal
Team,s,inclusive,communal
teamorientiert,a,inclusive,communal
teilen,v,inclusive,communal
teilnehmend,a,inclusive,communal
Teilzeit,s,inclusive,communal
treu,a,inclusive,communal
Umsicht,s,inclusive,communal
umsichtig,a,inclusive,communal
unternehmungsfreudig,a,inclusive,communal
unterstützen,v,inclusive,communal
unterstützend,a,inclusive,communal
Unterstützung,s,inclusive,communal
unterwürfig,a,inclusive,communal
verantwort,v,inclusive,communal
verantwortlich,a,inclusive,communal
Verantwortung,s,inclusive,communal
verantwortungsvoll,a,inclusive,communal
verbindend,a,inclusive,communal
Verbindung,s,inclusive,communal
verlässlich,a,inclusive,communal
vermitteln,v,inclusive,communal
vermittelnd,a,inclusive,communal
Vermittlung,s,inclusive,communal
verpflichten,v,inclusive,communal
Verpflichtung,s,inclusive,communal
Verständnis,s,inclusive,communal
verständnisvoll,a,inclusive,communal
verstehen,v,inclusive,communal
Vertrauen,s,inclusive,communal
vertrauen,v,inclusive,communal
vertrauensvoll,a,inclusive,communal
vertrauenswürdig,a,inclusive,communal
vertraut,a,inclusive,communal
voneinander,a,inclusive,communal
warm,a,inclusive,communal
wärmen,v,inclusive,communal
weich,a,inclusive,communal
Wertschätzung,s,inclusive,communal
widerstandsfähig,a,inclusive,communal
Widerstandsfähigkeit,s,inclusive,communal
Wirkung,s,inclusive,communal
wohlfühlen,v,inclusive,communal
zart,a,inclusive,communal
zärtlich,a,inclusive,communal
zugetan,a,inclusive,communal
zusammen,a,inclusive,communal
Zusammenarbeit,s,inclusive,communal
zusammenarbeiten,v,inclusive,communal
Zusammenhang,s,inclusive,communal
zusammenhängend,a,inclusive,communal
zusammenwirkend,a,inclusive,communal
zustimmen,v,inclusive,communal
zustimmend,a,inclusive,communal
zuverlässig,a,inclusive,communal
Zuverlässigkeit,s,inclusive,communal
zwischenmenschlich,a,inclusive,communal
