Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
profound,a,style,exaggerating,"['intense', 'deep', 'thorough', 'acute', 'thoughtful', 'serious', 'experienced', 'requiring deep understanding']",[],"['intense', 'deep', 'thorough', 'acute', 'thoughtful', 'serious', 'experienced', 'requiring deep understanding']"
quick,a,style,hollow,"['efficient', 'expedient', 'effective', 'rapid', 'prompt', 'willing', 'responsive', 'insightful', 'perceptive', 'observant', 'energetic', 'alert', 'lively', 'nimble', 'astute']",[],"['efficient', 'expedient', 'effective', 'rapid', 'prompt', 'willing', 'responsive', 'insightful', 'perceptive', 'observant', 'energetic', 'alert', 'lively', 'nimble', 'astute']"
quite,adv,style,filler,['-'],['-'],['-']
rather,a,style,filler,['-'],['-'],['-']
really,a,style,filler,"['in fact', 'admittedly', 'honestly', 'frankly', '-']",['-'],"['-', 'in fact', 'admittedly', 'honestly', 'frankly']"
reasonably,adv,style,filler,['-'],['-'],['-']
relatively,adv,style,filler,['-'],['-'],['-']
results-driven,a,style,hollow,"['goal-oriented', '-', 'keen to get things done(...)', 'motivated by milestones(...)', 'able to create momentum to get things done(...)', 'using targets to stay motivated(...)', 'focused on outcomes(...)']",['-'],"['-', 'goal-oriented', 'keen to get things done(...)', 'motivated by milestones(...)', 'able to create momentum to get things done(...)', 'using targets to stay motivated(...)', 'focused on outcomes(...)']"
resultsdriven,a,style,hollow,"['goal-oriented', '-', 'keen to get things done(...)', 'motivated by milestones(...)', 'able to create momentum to get things done(...)', 'using targets to stay motivated(...)', 'focused on outcomes(...)']",['-'],"['-', 'goal-oriented', 'keen to get things done(...)', 'motivated by milestones(...)', 'able to create momentum to get things done(...)', 'using targets to stay motivated(...)', 'focused on outcomes(...)']"
right,a,style,filler,['-'],['-'],['-']
seem,v,style,filler,['-'],['-'],['-']
self-driven,=a,style,hollow,"['motivated', 'ardent', 'spirited', 'aspiring', 'sincere', 'industrious']",[],"['motivated', 'ardent', 'spirited', 'aspiring', 'sincere', 'industrious']"
selfdriven,=a,style,hollow,"['motivated', 'ardent', 'spirited', 'aspiring', 'sincere', 'industrious']",[],"['motivated', 'ardent', 'spirited', 'aspiring', 'sincere', 'industrious']"
seriously,adv,style,filler,['-'],['-'],['-']
simply,adv,style,filler,['-'],['-'],['-']
slightly,adv,style,filler,['-'],['-'],['-']
so,adv,style,filler,['-'],['-'],['-']
somehow,adv,style,filler,['-'],['-'],['-']
state-of-the-art,a,style,hollow,"['current', 'best available', 'advanced', 'sophisticated', 'technologically advanced', 'implementing the most recent methods(...)', 'involving fresh concepts(...)', 'employing the latest equipment(...)', 'using the latest techniques(...)', 'at the highest level of development(...)', 'using the newest ideas(...)']",[],"['current', 'best available', 'advanced', 'sophisticated', 'technologically advanced', 'implementing the most recent methods(...)', 'involving fresh concepts(...)', 'employing the latest equipment(...)', 'using the latest techniques(...)', 'at the highest level of development(...)', 'using the newest ideas(...)']"
successful,a,style,exaggerating,"['productive', 'lucky', 'lucrative', 'practised', 'skilled', '-']",['-'],"['-', 'productive', 'lucky', 'lucrative', 'practised', 'skilled']"
successfully,a,style,exaggerating,"['with good results', 'favourably', '-']",['-'],"['-', 'with good results', 'favourably']"
suddenly,adv,style,filler,['-'],['-'],['-']
super,adv,style,exaggerating,['-'],['-'],['-']
surpass,v,style,exaggerating,"['refine', 'improve upon', 'transcend', 'do better than', 'go beyond']",[],"['refine', 'improve upon', 'transcend', 'do better than', 'go beyond']"
synergize,v,style,hollow,['work together'],[],['work together']
though,adv,style,filler,['-'],['-'],['-']
top-performing,a,style,exaggerating,"['contributing to business success --- about a person', 'implementing goals with enthusiasm --- about a person', 'fulfilling customer expectations --- about a person']",[],"['contributing to business success --- about a person', 'implementing goals with enthusiasm --- about a person', 'fulfilling customer expectations --- about a person']"
topperforming,a,style,exaggerating,"['contributing to business success --- about a person', 'implementing goals with enthusiasm --- about a person', 'fulfilling customer expectations --- about a person']",[],"['contributing to business success --- about a person', 'implementing goals with enthusiasm --- about a person', 'fulfilling customer expectations --- about a person']"
totally,adv,style,filler,['-'],['-'],['-']
unique,a,style,hollow,"['original', 'distinctive', 'rare', 'diverse', 'in a class by itself']",[],"['original', 'distinctive', 'rare', 'diverse', 'in a class by itself']"
utilise,v,style,hollow,['use'],[],['use']
verifiable,a,style,exaggerating,"['documented', 'valid', 'reliable']",[],"['documented', 'valid', 'reliable']"
verifiably,adv,style,exaggerating,['-'],['-'],['-']
very,adv,style,filler,['-'],['-'],['-']
well,adv,style,filler,['-'],['-'],['-']
well-established,=a,style,exaggerating,"['thriving', 'acknowledged', 'confirmed', 'long-standing', 'well-documented']",[],"['thriving', 'acknowledged', 'confirmed', 'long-standing', 'well-documented']"
wellestablished,=a,style,exaggerating,"['thriving', 'acknowledged', 'confirmed', 'long-standing', 'well-documented']",[],"['thriving', 'acknowledged', 'confirmed', 'long-standing', 'well-documented']"
world-wide,a,style,hollow,"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']",['--- be specific to build trust'],"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']"
worldwide,a,style,hollow,"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']",['--- be specific to build trust'],"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']"
