Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all,Pl_all_split,Alt_split
Guerilla Marketing,s,26-01-2022,gendered,hidden_image,"['kostengünstige unkonventionelle Werbestrategie', 'parasitäres Marketing', 'Trittbrettfahren', 'erfrischende, mitunter provokante Werbe-Maßnahmen', 'Werbung, die auf Überraschungen und ungewöhnliche Interaktionen setzt,']",,[''],"['kostengünstige unkonventionelle Werbestrategie', 'parasitäres Marketing', 'Trittbrettfahren', 'erfrischende, mitunter provokante Werbe-Maßnahmen', 'Werbung, die auf Überraschungen und ungewöhnliche Interaktionen setzt,']"
Head of,s,,gendered,leadership,"['Leitungsperson', 'Leitungskraft', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', '| Vorgesetzt~e~/~Vorgesetzter', 'die kreativen Kräfte (einer Agentur, Abteilung, Firma)', 'die strategisch denkenden Kräfte', 'entscheidungsbefugte Person', 'verantwortliche Person', 'Person, die eine gemeinsame Vision kommuniziert', 'Person, die das Team unterstützt und coacht', 'Person, die die kreative Richtung findet', 'Person, die strategisch denkt']","die kreativen Kräfte (einer Agentur, Abteilung, Firma) | die strategisch denkenden Kräfte | Leitung | Geschäftsführung | Management | Direktorium | Firmenleitung | Unternehmensleitung | | entscheidungsbefugte Personen | verantwortliche Person","['die kreativen Kräfte (einer Agentur, Abteilung, Firma)', 'die strategisch denkenden Kräfte', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', '| entscheidungsbefugte Personen', 'verantwortliche Person']","['Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', '| Leitungsperson', 'Leitungskraft', 'Vorgesetzt~e~/~Vorgesetzter', 'entscheidungsbefugte Person', 'verantwortliche Person', 'Person, die eine gemeinsame Vision kommuniziert', 'Person, die das Team unterstützt und coacht', 'Person, die die kreative Richtung findet', 'Person, die strategisch denkt', 'die kreativen Kräfte (einer Agentur, Abteilung, Firma)', 'die strategisch denkenden Kräfte', 'entscheidungsbefugte Personen', 'verantwortliche Person']"
Herr der Lage,i,,gendered,male_stereotype,"['Person, die die Lage im Griff hat']","Personen, die die Lage im Griff haben","['Personen, die die Lage im Griff haben']","['Person, die die Lage im Griff hat', 'Personen, die die Lage im Griff haben']"
Herr der Situation,i,,gendered,male_stereotype,"['Person, die eine Situation im Griff hat', 'Person, die in einer Situation den Überblick hat']","Personen, die eine Situation im Griff haben | Personen, die in einer Situation den Überblick haben","['Personen, die eine Situation im Griff haben', 'Personen, die in einer Situation den Überblick haben']","['Person, die eine Situation im Griff hat', 'Person, die in einer Situation den Überblick hat', 'Personen, die eine Situation im Griff haben', 'Personen, die in einer Situation den Überblick haben']"
Herr im Haus,i,,gendered,male_stereotype,"['Person, die im Haus die Entscheidungen trifft']","Personen, die die im Haus die Entscheidungen trifft","['Personen, die die im Haus die Entscheidungen trifft']","['Person, die im Haus die Entscheidungen trifft', 'Personen, die die im Haus die Entscheidungen trifft']"
Mann im Haus,i,,gendered,male_stereotype,"['Person, die im Haus die Entscheidungen trifft']","Personen, die im Haus die Entscheidungen treffen","['Personen, die im Haus die Entscheidungen treffen']","['Person, die im Haus die Entscheidungen trifft', 'Personen, die im Haus die Entscheidungen treffen']"
Nummer 1,s,,gendered,function,"['Unternehmen, das im Markt Maßstäbe setzt', 'wichtige Sache', 'Ziel, das das Team inspiriert', 'inspirierendes Teammitglied', 'Mensch, der dem Team mit Rat und Tat zur Seite steht', 'im Markt richtungweisendes Unternehmen', 'Lieblings(...)']",,[''],"['Unternehmen, das im Markt Maßstäbe setzt', 'wichtige Sache', 'Ziel, das das Team inspiriert', 'inspirierendes Teammitglied', 'Mensch, der dem Team mit Rat und Tat zur Seite steht', 'im Markt richtungweisendes Unternehmen', 'Lieblings(...)']"
Nummer eins,s,,gendered,function,"['Unternehmen, das im Markt Maßstäbe setzt', 'wichtige Sache', 'Ziel, das das Team inspiriert', 'inspirierendes Teammitglied', 'Mensch, der dem Team mit Rat und Tat zur Seite steht', 'im Markt richtungweisendes Unternehmen', 'Lieblings(...)']",,[''],"['Unternehmen, das im Markt Maßstäbe setzt', 'wichtige Sache', 'Ziel, das das Team inspiriert', 'inspirierendes Teammitglied', 'Mensch, der dem Team mit Rat und Tat zur Seite steht', 'im Markt richtungweisendes Unternehmen', 'Lieblings(...)']"
PR Held,s,02-05-2022,gendered,function,"['Öffentlichkeitsarbeit', 'PR-Held~in~/~PR-Held', 'engagiertes PR-Team', 'jemand, der mit Energie und Ideen in der PR neue Wege sucht', 'jemand, dessen Herz für PR-Themen schlägt', 'kommunikationsfreudiger Mensch, der sich um die PR-Bedürfnisse (von ...) kümmert']","PR-Held~innen~ und ~PR-Helden | engagiertes PR-Team | Öffentlichkeitsarbeit | PR-Leute, die mit Energie und Ideen neue Wege suchen | Menschen, deren Herzen für PR-Themen schlagen | kommunikationsfreudige Menschen, die sich um die PR-Bedürfnisse (von ...) kümmern","['PR-Held~innen~ und ~PR-Helden', 'engagiertes PR-Team', 'Öffentlichkeitsarbeit', 'PR-Leute, die mit Energie und Ideen neue Wege suchen', 'Menschen, deren Herzen für PR-Themen schlagen', 'kommunikationsfreudige Menschen, die sich um die PR-Bedürfnisse (von ...) kümmern']","['Öffentlichkeitsarbeit', 'PR-Held~in~/~PR-Held', 'jemand, der mit Energie und Ideen in der PR neue Wege sucht', 'jemand, dessen Herz für PR-Themen schlägt', 'kommunikationsfreudiger Mensch, der sich um die PR-Bedürfnisse (von ...) kümmert', 'engagiertes PR-Team', 'PR-Held~innen~ und ~PR-Helden', 'PR-Leute, die mit Energie und Ideen neue Wege suchen', 'Menschen, deren Herzen für PR-Themen schlagen', 'kommunikationsfreudige Menschen, die sich um die PR-Bedürfnisse (von ...) kümmern']"
Product Owner,s,,gendered,titles,"['Product Ownership', 'Product Owner~in~/~Product Owner', 'Person, die die Verantwortung für die erfolgreiche und wirtschaftlich sinnvolle Umsetzung eines Vorhabens trägt', 'Person, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertritt/kommuniziert']","Product Owner~innen~ und ~Product Owner | Product Ownership | Personen, die die Verantwortung für die erfolgreiche und wirtschaftlich sinnvolle Umsetzung eines Vorhabens tragen | Personen, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertreten/kommunizieren","['Product Owner~innen~ und ~Product Owner', 'Product Ownership', 'Personen, die die Verantwortung für die erfolgreiche und wirtschaftlich sinnvolle Umsetzung eines Vorhabens tragen', 'Personen, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertreten/kommunizieren']","['Product Ownership', 'Product Owner~in~/~Product Owner', 'Person, die die Verantwortung für die erfolgreiche und wirtschaftlich sinnvolle Umsetzung eines Vorhabens trägt', 'Person, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertritt/kommuniziert', 'Product Owner~innen~ und ~Product Owner', 'Personen, die die Verantwortung für die erfolgreiche und wirtschaftlich sinnvolle Umsetzung eines Vorhabens tragen', 'Personen, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertreten/kommunizieren']"
Scrum Master,s,,gendered,function,"['Scrum Mastering', 'Scrum Master~in~/~Scrum Master']",Scrum Mastering,['Scrum Mastering'],"['Scrum Mastering', 'Scrum Master~in~/~Scrum Master']"
Service desk agent,s,,gendered,titles,"['Servicedesk', 'Servicedesk-Mitarbeiter~in~/~Servicedesk-Mitarbeiter', 'Servicedesk-Mitarbeitende', 'Person, die für das Servicedesk arbeitet', 'Person, die im integrierten IT-Dienst arbeitet', 'Person, die sich darum kümmert, dass der IT-Betrieb zuverlässig läuft']","Servicedesk-Mitarbeitende | Servicedesk-Mitarbeiter~innen~ und ~Servicedesk-Mitarbeiter | Servicedesk | Personen, die für das Servicedesk arbeiten | Personen, die sich darum kümmern, dass der IT-Betrieb zuverlässig läuft","['Servicedesk-Mitarbeitende', 'Servicedesk-Mitarbeiter~innen~ und ~Servicedesk-Mitarbeiter', 'Servicedesk', 'Personen, die für das Servicedesk arbeiten', 'Personen, die sich darum kümmern, dass der IT-Betrieb zuverlässig läuft']","['Servicedesk', 'Servicedesk-Mitarbeiter~in~/~Servicedesk-Mitarbeiter', 'Person, die für das Servicedesk arbeitet', 'Person, die im integrierten IT-Dienst arbeitet', 'Person, die sich darum kümmert, dass der IT-Betrieb zuverlässig läuft', 'Servicedesk-Mitarbeitende', 'Servicedesk-Mitarbeiter~innen~ und ~Servicedesk-Mitarbeiter', 'Personen, die für das Servicedesk arbeiten', 'Personen, die sich darum kümmern, dass der IT-Betrieb zuverlässig läuft']"
Top Performer,s,20-12-2021,gendered,function,"['Kümmerer', 'Team-Mentor', 'Tatmensch', 'umsetzungsfreudiger Mensch', 'tatkräftiger Mensch', 'Tatmenschen', 'Mitdenkende', 'engagierte Mitarbeitende', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'jemand mit Blick fürs große Ganze', 'Mensch, dem Meilensteine am Herzen liegen', 'Mensch, der Aufgaben konstruktiv und engagiert angeht', 'jemand, der mit dem Team Ziele gemeinsam umsetzt', 'jemand, der mit dem Team Aufgaben anpackt', 'jemand, der unternehmerisch denkt', 'jemand, der Ziele mit Elan umsetzt']","Tatmenschen | Mitdenkende | engagierte Mitarbeitende | umsetzungsfreudige Menschen | tatkräftige Leute | Leute mit Blick fürs große Ganze | Menschen, denen Meilensteine am Herzen liegen | Menschen, die Aufgaben konstruktiv und engagiert angehen | Leute, die mit dem Team Ziele gemeinsam umsetzen | alle, die mit dem Team Aufgaben angagiert anpacken | Leute, die unternehmerisch denken | alle, die Ziele mit Elan umsetzen","['Tatmenschen', 'Mitdenkende', 'engagierte Mitarbeitende', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Leute mit Blick fürs große Ganze', 'Menschen, denen Meilensteine am Herzen liegen', 'Menschen, die Aufgaben konstruktiv und engagiert angehen', 'Leute, die mit dem Team Ziele gemeinsam umsetzen', 'alle, die mit dem Team Aufgaben angagiert anpacken', 'Leute, die unternehmerisch denken', 'alle, die Ziele mit Elan umsetzen']","['Kümmerer', 'Team-Mentor', 'Tatmensch', 'umsetzungsfreudiger Mensch', 'tatkräftiger Mensch', 'jemand mit Blick fürs große Ganze', 'Mensch, dem Meilensteine am Herzen liegen', 'Mensch, der Aufgaben konstruktiv und engagiert angeht', 'jemand, der mit dem Team Ziele gemeinsam umsetzt', 'jemand, der mit dem Team Aufgaben anpackt', 'jemand, der unternehmerisch denkt', 'jemand, der Ziele mit Elan umsetzt', 'Tatmenschen', 'Mitdenkende', 'engagierte Mitarbeitende', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Leute mit Blick fürs große Ganze', 'Menschen, denen Meilensteine am Herzen liegen', 'Menschen, die Aufgaben konstruktiv und engagiert angehen', 'Leute, die mit dem Team Ziele gemeinsam umsetzen', 'alle, die mit dem Team Aufgaben angagiert anpacken', 'Leute, die unternehmerisch denken', 'alle, die Ziele mit Elan umsetzen']"
User Experience,s,26-01-2022,gendered,hidden_image,"['Nutzungserlebnis', 'Nutzbarkeit', 'Nutzungsfreundlichkeit']",,[''],"['Nutzungserlebnis', 'Nutzbarkeit', 'Nutzungsfreundlichkeit']"
Winner Typ,s,,gendered,function,"['umsetzungsfreudiger Mensch', 'Mensch, der gemeinsame Ziele motiviert anpackt', 'jemand, der Freude am Erreichen von Meilensteinen hat', 'jemand, der zusammen mit dem Team kontinuierlich Ziele umsetzt', 'jemand, der gemeinsame Aufgaben mit Elan angeht']",,[''],"['umsetzungsfreudiger Mensch', 'Mensch, der gemeinsame Ziele motiviert anpackt', 'jemand, der Freude am Erreichen von Meilensteinen hat', 'jemand, der zusammen mit dem Team kontinuierlich Ziele umsetzt', 'jemand, der gemeinsame Aufgaben mit Elan angeht']"
aus dem Nähkästchen plaudern,i,02-05-2022,gendered,hidden_image,"['Einblick in den eigenen Arbeitsalltag gewähren', 'persönliche Erfahrungen teilen', 'Einblick in die eigene Welt geben', 'zum Blick hinter die Kulissen einladen', 'sich über die Schulter schauen lassen']",Einblick in den eigenen Arbeitsalltag gewähren | persönliche Erfahrungen teilen | Einblick in die eigene Welt geben | zum Blick hinter die Kulissen einladen | sich über die Schulter schauen lassen,"['Einblick in den eigenen Arbeitsalltag gewähren', 'persönliche Erfahrungen teilen', 'Einblick in die eigene Welt geben', 'zum Blick hinter die Kulissen einladen', 'sich über die Schulter schauen lassen']","['Einblick in den eigenen Arbeitsalltag gewähren', 'persönliche Erfahrungen teilen', 'Einblick in die eigene Welt geben', 'zum Blick hinter die Kulissen einladen', 'sich über die Schulter schauen lassen', 'Einblick in den eigenen Arbeitsalltag gewähren', 'persönliche Erfahrungen teilen', 'Einblick in die eigene Welt geben', 'zum Blick hinter die Kulissen einladen', 'sich über die Schulter schauen lassen']"
heller Geist,a+s,,gendered,function,"['kreativer Kopf', 'aufmerksamer Mensch', 'Mensch mit Ideen', 'Mensch mit Blick fürs Wesentliche', 'Mensch, der Erlerntes rasch anwenden kann', 'Mensch mit Erfindungsgeist']",,[''],"['kreativer Kopf', 'aufmerksamer Mensch', 'Mensch mit Ideen', 'Mensch mit Blick fürs Wesentliche', 'Mensch, der Erlerntes rasch anwenden kann', 'Mensch mit Erfindungsgeist']"
kluge Köpfe,a+s,,gendered,function,"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']",,[''],"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']"
klugem Kopf,a+s,,gendered,function,"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']",,[''],"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']"
klugen Kopf,a+s,,gendered,function,"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']",,[''],"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']"
klugen Köpfen,a+s,,gendered,function,"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']",,[''],"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']"
kluger Kopf,a+s,,gendered,function,"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']",,[''],"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']"
schlaue Köpfe,a+s,,gendered,function,"['Leute mit Durchblick', 'aufmerksame Menschen', 'erfindungsreiche Menschen', 'Menschen mit Blick fürs Wesentliche', 'Menschen, der Erlerntes rasch anwenden können', 'Menschen, die mitdenken', 'Leute, die Erfahrung haben', 'Menschen mit verschiedenen Perspektiven |']",,[''],"['Leute mit Durchblick', 'aufmerksame Menschen', 'erfindungsreiche Menschen', 'Menschen mit Blick fürs Wesentliche', 'Menschen, der Erlerntes rasch anwenden können', 'Menschen, die mitdenken', 'Leute, die Erfahrung haben', 'Menschen mit verschiedenen Perspektiven |']"
schlauer Kopf,a+s,,gendered,function,"['jemand mit Durchblick', 'aufmerksame Person', 'erfindungsreicher Menschen', 'Mensch mit Blick fürs Wesentliche', 'Person, die Erlerntes rasch anwenden kann', 'aufmerksame Person, die mitdenkt', 'jemand mit Erfahrung', 'Mensch mit verschiedenen Perspektiven']",,[''],"['jemand mit Durchblick', 'aufmerksame Person', 'erfindungsreicher Menschen', 'Mensch mit Blick fürs Wesentliche', 'Person, die Erlerntes rasch anwenden kann', 'aufmerksame Person, die mitdenkt', 'jemand mit Erfahrung', 'Mensch mit verschiedenen Perspektiven']"
Übung macht den Meister,i,,gendered,male_stereotype,['Übung macht die Meister~in'],,[''],['Übung macht die Meister~in']
