Lemma,Priority,Category,Primary_subcategory,Alt_split
meistenteils,,style,filler,['-']
mindestens,,style,filler,['-']
mithin,,style,filler,['-']
mitunter,,style,filler,['-']
möglicherweise,,style,filler,['-']
möglichst,,style,filler,['-']
nämlich,,style,filler,['-']
naturgemäß,,style,filler,['-']
natürlich,,style,filler,['-']
neuerdings,,style,filler,['-']
neuerlich,,style,filler,['-']
neulich,,style,filler,['-']
nichtsdestoweniger,,style,filler,['-']
nie,,style,filler,['-']
niemals,,style,filler,['-']
nun,,style,filler,['-']
nur,,style,filler,['-']
o.ä.,,style,filler,['-']
o.Ä.,,style,filler,['-']
offenbar,,style,filler,['-']
offenkundig,,style,filler,['-']
offensichtlich,,style,filler,['-']
oft,,style,filler,['-']
ohnedies,,style,filler,['-']
partout,,style,filler,['-']
plötzlich,,style,filler,['-']
quasi,,style,filler,['-']
recht,,style,filler,['-']
reichlich,,style,filler,['-']
reiflich,,style,filler,['-']
relativ,,style,filler,['-']
restlos,,style,filler,['-']
richtiggehend,,style,filler,['-']
rundheraus,,style,filler,['-']
rundum,,style,filler,['-']
sattsam,,style,filler,['-']
schlicht,,style,filler,['-']
schlichtweg,,style,filler,['-']
schließlich,,style,filler,['-']
schlußendlich,,style,filler,['-']
schon,,style,filler,['-']
sehr,,style,filler,['-']
selbst,,style,filler,['-']
selbstredend,,style,filler,['-']
selbstverständlich,,style,filler,['-']
selten,,style,filler,['-']
seltsamerweise,,style,filler,['-']
sicherlich,,style,filler,['-']
so,,style,filler,['-']
sogar,,style,filler,['-']
sonst,,style,filler,['-']
sowieso,,style,filler,['-']
sozusagen,,style,filler,['-']
stellenweise,,style,filler,['-']
stets,,style,filler,['-']
trotzdem,,style,filler,['-']
u.a.,,style,filler,['-']
u.ä.,,style,filler,['-']
u.Ä.,,style,filler,['-']
überaus,,style,filler,['-']
überdies,,style,filler,['-']
überhaupt,,style,filler,['-']
übrigens,,style,filler,['-']
umständehalber,,style,filler,['-']
unbedingt,,style,filler,['-']
unerhört,,style,filler,['-']
ungefähr,,style,filler,['-']
ungemein,,style,filler,['-']
ungewöhnlich,,style,filler,['-']
ungleich,,style,filler,['-']
unglücklicherweise,,style,filler,['-']
unlängst,,style,filler,['-']
unmaßgeblich,,style,filler,['-']
unsagbar,,style,filler,['-']
unsäglich,,style,filler,['-']
unstreitig,,style,filler,['-']
unzweifelhaft,,style,filler,['-']
vergleichsweise,,style,filler,['-']
vermutlich,,style,filler,['-']
vielfach,,style,filler,['-']
vielleicht,,style,filler,['-']
vollends,,style,filler,['-']
völlig,,style,filler,['-']
vollkommen,,style,filler,['-']
vollständig,,style,filler,['-']
wahrscheinlich,,style,filler,['-']
weidlich,,style,filler,['-']
weitgehend,,style,filler,['-']
wenigstens,,style,filler,['-']
wieder,,style,filler,['-']
wiederum,,style,filler,['-']
wirklich,,style,filler,['-']
wohl,,style,filler,['-']
wohlgemerkt,,style,filler,['-']
womöglich,,style,filler,['-']
ziemlich,,style,filler,['-']
zudem,,style,filler,['-']
zugegeben,,style,filler,['-']
zumeist,,style,filler,['-']
zusehends,,style,filler,['-']
zuweilen,,style,filler,['-']
zweifellos,,style,filler,['-']
zweifelsfrei,,style,filler,['-']
zweifelsohne,,style,filler,['-']
aktiv,,style,hollow,"['lebendig', 'tatkräftig', 'lebhaft', 'enthusiastisch', 'engagiert', 'energiegeladen', 'vital', 'eifrig', 'anpassungsfähig', 'schwungvoll']"
Arbeitskraft,,style,hollow,"['Arbeitsleistung', 'Personal', 'Mitarbeiter~in~/~Mitarbeiter', 'menschliche Kraft zu geistiger/körperlicher Arbeit', 'Personal', 'Mitarbeitende', 'Mitarbeiter~innen~ und ~Mitarbeiter']"
dynamisch,,style,hollow,"['lebendig', 'tatkräftig', 'lebhaft', 'enthusiastisch', 'engagiert', 'energiegeladen', 'vital', 'eifrig', 'anpassungsfähig', 'schwungvoll']"
flexibel,,style,hollow,"['anpassungsfähig', 'bei Entscheidungen wendig', 'pragmatisch', 'offen', 'beweglich', 'agil', 'variabel', 'mobil', 'durch nutzende Personen definiert']"
Flexibilität,,style,hollow,"['Anpassungsfähigkeit', 'Aufgeschlossenheit gegenüber Wandel', 'Bereitschaft für Veränderung', 'Mobilität', 'Fähigkeit, sich schnell auf Neues umzustellen']"
global,,style,hollow,"['in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas', 'auf allen Kontinenten']"
hoch-motiviert,,style,hollow,"['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich erreichbare Ziele', 'bereit, sich einzusetzen']"
hochwertig,,style,hollow,"['von guter Qualität', 'dauerhaft', 'stabil', 'belastbar', 'wertbeständig']"
Innovation,,style,hollow,"['Neugestaltung', 'Erfindung', 'technischer Fortschritt', 'Neuerung', 'Neuschöpfung', 'Neuentwicklung']"
Innovationskraft,,style,hollow,"['Erfindungsreichtum', 'Kreativität', 'Fähigkeit, Ideen in Lösungen umzusetzen', 'Umsetzungskraft']"
innovativ,,style,hollow,"['einfallsreich', 'neuartig', 'kreativ', 'schöpferisch', 'erfindungsreich', 'zukunftsweisend', 'bahnbrechend', 'ideenreich', 'fortschrittlich']"
international,,style,hollow,"['in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas', 'auf allen Kontinenten']"
Karrierechance,,style,hollow,['gute Aufstiegsmöglichkeit']
lösungsorientiert,,style,hollow,"['pragmatisch', 'umsetzungsorientiert']"
maßgeblich,,style,hollow,"['relevant', 'entscheidend', 'verantwortlich', 'wird großgeschrieben']"
normal,,style,hollow,"['typisch', 'vorschriftsmäßig', 'den allgemein anerkannten/als verbindlich geltenden Regeln/Erwartungen entsprechend']"
Organisationstalent,,style,hollow,"['Organisationsfähigkeit', 'Geübtheit, anderen den Rücken frei zu halten', 'Person, die gern organisiert', 'jemand, der einen klaren Blick behält', 'Mensch, der gern offene Enden zusammenführt']"
quer-denken,,style,hollow,"['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']"
Querdenken,,style,hollow,"['die Fähigkeit, in neuen Mustern zu denken', 'die Fähigkeit, parallel/lateral/kreativ/divergent zu denken', 'die Fähigkeit, über den eigenen Tellerrand zu blicken', 'die Fähigkeit zum Brainstormen']"
state-of-the-art,,style,hollow,"['auf dem neuesten/letzten Stand der Technik', 'dem aktuellen Stand der Forschung/Technologie entsprechend', 'fachüblich']"
Team-player,,style,hollow,"['Zusammenarbeit über das eigene Streben stellen', 'Team', 'Teammitglieder', 'Teamplayer~innen', 'Teamplayer~in', 'Team-player~in~/~Team-player']"
teamfähig,,style,hollow,"['kooperationsfähig', 'offen gegenüber verschiedenen Menschen und Verhaltensweisen', 'fähig mit Unterschieden und Gemeinsamkeiten umzugehen', 'kommunikationsfähig', 'kompromissbereit zugunsten des gemeinsamen Ziels']"
Teamfähigkeit,,style,hollow,"['Kooperationsfähigkeit', 'Akzeptanz gegenüber verschiedenen Menschen und Verhaltensweisen', 'Fähigkeit mit Unterschieden und Gemeinsamkeiten umzugehen', 'Kommunikationsfähigkeit', 'Kompromissbereitschaft zugunsten des gemeinsamen Ziels']"
vorallem,,style,hollow,"['als Wichtigstes', 'namentlich', 'vorrangig']"
weltweit,,style,hollow,"['in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas', 'auf allen Kontinenten']"
