Boasting-German,Is active,Wordtype,Forms,Alternatives-German,Alternatives-German in company & company culture,Lemma_spacy
beeindruckend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['gut', 'überzeugend', 'bewegend', 'inspirierend', 'macht einen positiven Eindruck', 'wirkungsvoll']",-,beeindrucken
best,1.0,a,(e|er|en|em|es)?,"['leicht', 'einfach', 'mühelos', 'als positiv empfunden', 'befriedigend', 'bereichernd', 'schön', 'fein', 'gut', 'passend']",-,best
brillant,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['glänzend', 'gebündelt', 'reich an Obertönen', 'fokussiert', 'klar', 'kreativ', 'scharfsinnig', 'begabt', 'wirkungsvoll', 'einnehmend', 'technisch vollendet', 'gekonnt', 'famos', 'dass es eine Freude ist', 'eine wahre Wonne']",-,brillant
eindrücklich,1.0,a,e?,"['eindringlich', 'eloquent', 'in starken Bildern', 'bildlich', 'emphatisch', 'anschaulich']",-,eindrücklich
Erfolg,1.0,s,e?,"['Gelingen einer Sache', 'gesetzte Ziele erreicht', 'gutes Ergebnis', 'positive Überraschung', 'Lohn für Engagement', 'Durchsetzung', 'gutes Resultat']",-,Erfolg
Erfolgsbilanz,1.0,s,en?,"['positive Bilanz', 'erfreuliches Fazit', 'Überblick über gute Ergebnisse']",-,Erfolgsbilanz
Erfolgsquote,1.0,s,en?,"['positiver Beitrag zum Gesamtergebnis', 'Anteil am Erreichen gemeinsamer Ziele', 'Mitwirkung am positiven Verlauf', 'Beitrag zum gemeinsamen guten Gelingen']",-,Erfolgsquote
Erfolgsfaktor,1.0,s,en?,"['wichtiger Faktor im Erreichen gemeinsamer Ziele', 'Schlüssel zum guten Ergebnis', 'steigert die Anziehungskraft', 'erhöht die Zugkraft', 'Betrag zum guten Gelingen']",-,Erfolgsfaktor
Erfolgserlebnis,1.0,s,se?,"['Freude über das Erreichen gemeinsamer Ziele', 'Auftrieb durch das Erreichen selbst gesetzter Ziele', 'motiviert durch gute Ergebnisse']",-,Erfolgserlebnis
Erfolgsgeschichte,1.0,s,n?,"['gelungenes Beispiel', 'Geschichte, wie wir gemeinsame Ziele erreichen', 'Beweis für den positiven Verlauf', 'Geschichte der positiven Entwicklung', 'Bericht über die positive Unternehmung', 'Beispiel, das zeigt, wie uns das gelungen ist']",-,Erfolgsgeschichte
erfolgreich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['fähig', 'erreichst gesetzte Ziele', 'fruchtbringend', 'gelungen', 'gewinnbringend', 'mit gutem Ergebnis', 'produktiv', 'Aufgaben gemeinsam gelöst', 'mit Leichtigkeit bewältigen', 'mit Engagement zu Ende bringen']",-,erfolgreich
erreich,1.0,v,(st|t|en) mehr,"['umsetzungsorientiert', 'pragmatisch in der Verwirklichung einer Vision']",umsetzungsorientiert | pragmatisch in der Verwirklichung einer Vision,erreich
erstklassig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['überdurchschnittlich', 'mit einem Auge für Qualität', 'zuverlässig und genau', 'ansprechend', 'gehoben', 'rein', 'bevorzugt', 'anspruchsvoll', 'sorgfältig ausgewählt']",-,erstklassig
Establishment,1.0,s,,"['bessere Gesellschaft', 'bessere Kreise', 'gut situierte Kreise', 'soziale Oberschicht', 'in Kaderkreisen']",-,Establishment
etabliert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['anerkannt', 'akzeptiert', 'sich einen Namen gemacht haben', 'verwurzelt', 'eingerichtet', 'geltend', 'eingeführt', 'bekannt', 'erprobt', 'bewährt', 'aufgebaut']",-,etablieren
Extrameile,1.0,a,n?,"['lösungsorientiert', 'Spaß am Mit- und Weiterdenken haben', 'bereit, sich für Kundenzufriedenheit zu engagieren', 'über den eigenen Tellerand sehen', 'Spaß daran, Kunden durch unerwartete Großzügigkeit und ungewöhnliche Lösungen zu begeistern und zu binden']",-,Extrameile
Exzellenz,1.0,s,,"['Qualität', 'Überdurchschnittliches erreichen', 'sich überdurchschnittliche Ziele setzen', 'Qualitätsbewusstsein', 'mit besonderer Güte']",-,Exzellenz
exzellent,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['wertvoll', 'besonders gut', 'sehr gut', 'qualitätsorientiert', 'mit Sinn für Qualität', 'von besonderer Qualität']",-,exzellent
fantastisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['inspirierend', 'begeisternd', 'motivierend']",-,fantastisch
führend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['bedeutend', 'wichtig', 'bekannt', 'Maßstäbe setzend', 'einflußreich', 'richtungweisend', 'tonangebend', 'wegweisend']",-,führen
fundiert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['mit Know-how', 'mit Erfahrung']",mit Know-how | mit Erfahrung,fundieren
Geek,1.0,s,s?,"['Mensch, der sich gern mit Technologie beschäftigt', 'Mensch, der Spaß an Computern hat', 'Mensch, der unseren Enthusiasmus für neue Medien teilt', 'Mensch, der sich für ein Thema begeistert', 'Mensch, der für ein Thema brennt']",-,Geek
gewandt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['flexibel', 'geschickt', 'umsichtig', 'diplomatisch', 'behände', 'beweglich', 'eloquent', 'anpassungsfähig', 'routiniert']",-,wenden
Gewinn,1.0,s,(er|erin|erinnen|ern|s)?,"['Bereicherung', 'Nutzen', 'Vorteil', 'positiver Ertrag', 'Nutzeffekt', 'Benefit', 'Vorzug']",-,Gewinn
Gott,1.0,s,,"['komptent ', 'fachkundig', 'Mensch, der dank großer Erfahrung den Überblick behält', 'jemand, der vor Komplexität keine Angst hat', 'Mensch, der seine Aufgaben zuverlässig im Griff hat']",-,Gott
Götter,1.0,s,,"['komptent ', 'fachkundig', 'Menschen, die gelassen den Überblick behalten', 'Menschen, die vor Komplexität keine Angst haben', 'Menschen, die ihre Aufgaben sicher im Griff haben']",-,Gott
Hacker,1.0,s,(s|n)?,"['Techie', 'Du liebst Technologie, mit der du komplexe Aufgaben mit weniger Anweisungen lösen kannst', 'Du teilst unsere Begeisterung für Code, der die Welt besser und sicherer macht ']",-,Hacker
Held,1.0,s,(en|in|innen|s|es|/in|/innen|*in|*innen|:in|:innen|In|Innen)?,"['Du ergreifst die Initiative', 'Du setzt dich für gemeinsame Ziele ein', 'Du gehst mit Umsicht auf die Bedürfnisse deines Teams ein', 'Du gehst auch komplexe Aufgaben ruhig und gelassen an', 'Du bist loyal und resilient', 'Du bist umsetzungsorientiert']",-,Held
herausragend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['sehr', 'viel', 'ungewöhnlich', 'sehr gut', 'mehr als nötig', 'überdurchschnittlich', 'erfreulich', 'zur großen Zufriedenheit aller']",-,herausragend
hervorragend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['sehr', 'viel', 'ungewöhnlich', 'sehr gut', 'mehr als nötig', 'überdurchschnittlich', 'erfreulich', 'zur großen Zufriedenheit aller']",-,hervorragen
Kamikaze,1.0,s,n?,['-'],-,Kamikaze
Kämpfernatur,1.0,s,(en)?,['-'],-,Kämpfernatur
Karrierefrau,1.0,s,(en)?,['engagierter Mensch'],engagierter Mensch,Karrierefrau
Könner,1.0,s,,"['Fachkraft', 'erfahren', 'fachkundig', 'kompetent']",Fachkraft | erfahren | fachkundig | kompetent,Könner
Koryphäe,1.0,s,n?,"['Fachkraft', 'erfahren', 'fachkundig', 'kompetent', 'Fachgrösse']",,Koryphäe
langjährig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['Erfahrung haben'],,langjährig
Marktführ,1.0,a,(er|end|erin|erschaft),['-'],-,Marktführ
mehrjährig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['Erfahrung haben'],,mehrjährig
Meinungsbildner,1.0,s,(in|n|innen|s)?,['-'],-,Meinungsbildner
Muskel,1.0,s,(n|s)?,['-'],-,Muskel
nachweisbar,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['-'],,nachweisbar
Nerd,1.0,s,s?,['-'],-,Nerd
Ninja,1.0,s,s?,['-'],-,Ninja
obligatorisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['-'],-,obligatorisch
perfekt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,['-'],-,perfekt
Pionier,1.0,s,(in|e|innen|en|s)?,['-'],-,Pionier
Pionierunternehmen,1.0,s,,['-'],-,Pionierunternehmen
Profi,1.0,s,s?,['-'],-,Profi
Rakete,1.0,s,n?,['-'],-,Rakete
Risikoträger,1.0,s,(in|n|innen|s)?,['-'],-,Risikoträger
Rockstar,1.0,s,s?,['-'],-,Rockstar
Scorer,1.0,s,(in|n|innen|s)?,['-'],-,Scorer
sehr,1.0,a,,['-'],-,sehr
Selbstanlasser,1.0,s,(in|n|innen|s)?,['-'],-,Selbstanlasser
Sieg,1.0,s,(er|ern|erin|erinnen)?,['-'],-,Sieg
Spitzenleistung,1.0,s,(en)?,['-'],-,Spitzenleistung
Spitzenreiter,1.0,s,(n|in|innen|s)?,['-'],-,Spitzenreiter
Sportsfreund,1.0,s,(s|es|e|in|en|innen)?,['-'],-,Sportsfreund
stilsicher,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,['-'],-,stilsicher
Superstar,1.0,s,s?,['-'],-,Superstar
Torjäger,1.0,s,(in|n|innen|s)?,['-'],-,Torjäger
Torschützenkönig,1.0,s,(s|es|e|en|in|innen)?,['-'],-,Torschützenkönig
überdurchschnittlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['-'],-,überdurchschnittlich
Überflieger,1.0,s,(in|n|innen|s)?,"['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'mit Team etwas erreichen']",,Überflieger
übertreffen,1.0,v,,['-'],-,übertreffen
übertriff,1.0,v,(st|t),['-'],-,übertriff
übertroffen,1.0,v,,['-'],-,übertreffen
überzeugend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['-'],-,überzeugen
unwiderstehlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['-'],-,unwiderstehlich
Vorkämpfer,1.0,s,(in|n|innen|s)?,"['Vision verkörpern', 'lenken', 'experimentierfreudig', 'Wegbereiter*in']",-,Vorkämpfer
Weltherrschaft,1.0,s,,['-'],-,Weltherrschaft
Weltspitze,1.0,s,,['-'],-,Weltspitze
Wettkämpfer,1.0,s,(in|n|innen|s)?,['-'],-,Wettkämpfer
zwingend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,['-'],-,zwingen
zwingendermassen,1.0,a,,['-'],-,zwingendermassen
