Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Nummer eins,s,,unconscious_bias,exaggerating,"['Unternehmen, das im Markt Maßstäbe setzt', 'wichtige Sache', 'Ziel, das das Team inspiriert', 'inspirierendes Teammitglied', 'Mensch, der dem Team mit Rat und Tat zur Seite steht', 'im Markt richtungweisendes Unternehmen', 'Lieblings(...)']",[''],"['Unternehmen, das im Markt Maßstäbe setzt', 'wichtige Sache', 'Ziel, das das Team inspiriert', 'inspirierendes Teammitglied', 'Mensch, der dem Team mit Rat und Tat zur Seite steht', 'im Markt richtungweisendes Unternehmen', 'Lieblings(...)']"
Pfeil und Bogen,s,,unconscious_bias,racist_source,"['Waffen', 'Jagdwaffen']",[''],"['Waffen', 'Jagdwaffen']"
Top Performer,s,,unconscious_bias,exaggerating,"['strebsamer Mensch', 'fleißiger Mensch', 'umsetzungsfreudiger Mensch', 'tatkräftiger Mensch', 'Tatmensch', 'Tatmenschen', 'strebsame Menschen', 'fleißige Leute', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Mensch, der Meilensteine erreichen will', 'Mensch, der Aufgaben engagiert angeht', 'jemand, der mit dem Team gemeinsame Ziele umsetzt', 'jemand, der mit dem Team Aufgaben anpackt', 'jemand, der unternehmerisch denkt', 'jemand, der Ziele mit Elan umsetzt']","['Tatmenschen', 'strebsame Menschen', 'fleißige Leute', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Menschen, die Meilensteine erreichen wollen', 'Menschen, die Aufgaben engagiert angehen', 'Leute, die mit dem Team gemeinsame Ziele umsetzen', 'alle, die mit dem Team Aufgaben angagiert anpacken', 'Leute, die unternehmerisch denken', 'alle, die Ziele mit Elan umsetzen']","['strebsamer Mensch', 'fleißiger Mensch', 'umsetzungsfreudiger Mensch', 'tatkräftiger Mensch', 'Tatmensch', 'Mensch, der Meilensteine erreichen will', 'Mensch, der Aufgaben engagiert angeht', 'jemand, der mit dem Team gemeinsame Ziele umsetzt', 'jemand, der mit dem Team Aufgaben anpackt', 'jemand, der unternehmerisch denkt', 'jemand, der Ziele mit Elan umsetzt', 'Tatmenschen', 'strebsame Menschen', 'fleißige Leute', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Menschen, die Meilensteine erreichen wollen', 'Menschen, die Aufgaben engagiert angehen', 'Leute, die mit dem Team gemeinsame Ziele umsetzen', 'alle, die mit dem Team Aufgaben angagiert anpacken', 'Leute, die unternehmerisch denken', 'alle, die Ziele mit Elan umsetzen']"
Top Scorer,s,,unconscious_bias,exaggerating,"['strebsamer Mensch', 'fleißiger Mensch', 'umsetzungsfreudiger Mensch', 'tatkräftiger Mensch', 'Tatmensch', 'Tatmenschen', 'strebsame Menschen', 'fleißige Leute', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Mensch, der Meilensteine erreichen will', 'Mensch, der Aufgaben engagiert angeht', 'jemand, der mit dem Team gemeinsame Ziele umsetzt', 'jemand, der mit dem Team Aufgaben anpackt', 'jemand, der unternehmerisch denkt', 'jemand, der Ziele mit Elan umsetzt']","['Tatmenschen', 'strebsame Menschen', 'fleißige Leute', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Menschen, die Meilensteine erreichen wollen', 'Menschen, die Aufgaben engagiert angehen', 'Leute, die mit dem Team gemeinsame Ziele umsetzen', 'alle, die mit dem Team Aufgaben angagiert anpacken', 'Leute, die unternehmerisch denken', 'alle, die Ziele mit Elan umsetzen']","['strebsamer Mensch', 'fleißiger Mensch', 'umsetzungsfreudiger Mensch', 'tatkräftiger Mensch', 'Tatmensch', 'Mensch, der Meilensteine erreichen will', 'Mensch, der Aufgaben engagiert angeht', 'jemand, der mit dem Team gemeinsame Ziele umsetzt', 'jemand, der mit dem Team Aufgaben anpackt', 'jemand, der unternehmerisch denkt', 'jemand, der Ziele mit Elan umsetzt', 'Tatmenschen', 'strebsame Menschen', 'fleißige Leute', 'umsetzungsfreudige Menschen', 'tatkräftige Leute', 'Menschen, die Meilensteine erreichen wollen', 'Menschen, die Aufgaben engagiert angehen', 'Leute, die mit dem Team gemeinsame Ziele umsetzen', 'alle, die mit dem Team Aufgaben angagiert anpacken', 'Leute, die unternehmerisch denken', 'alle, die Ziele mit Elan umsetzen']"
Winner Typ,s,,unconscious_bias,exaggerating,"['umsetzungsfreudiger Mensch', 'Mensch, der gemeinsame Ziele motiviert anpackt', 'jemand, der Freude am Erreichen von Meilensteinen hat', 'jemand, der zusammen mit dem Team kontinuierlich Ziele umsetzt', 'jemand, der gemeinsame Aufgaben mit Elan angeht']",[''],"['umsetzungsfreudiger Mensch', 'Mensch, der gemeinsame Ziele motiviert anpackt', 'jemand, der Freude am Erreichen von Meilensteinen hat', 'jemand, der zusammen mit dem Team kontinuierlich Ziele umsetzt', 'jemand, der gemeinsame Aufgaben mit Elan angeht']"
Zigeuner Sauce,s,,unconscious_bias,racist_source,['Ungarische Würzsauce'],[''],['Ungarische Würzsauce']
belegte Erfolgsgeschichte,a+s,,unconscious_bias,exaggerating,"['belegte Gelingen', 'Beweis für den positiven Verlauf', 'Geschichte der positiven Entwicklung', 'positive Unternehmungsentwicklung', 'Beispiele, die belegen, wie wir gesetzte Ziele erreichen', 'Meilensteine, die dokumentieren, was wir (...) können']",[''],"['belegte Gelingen', 'Beweis für den positiven Verlauf', 'Geschichte der positiven Entwicklung', 'positive Unternehmungsentwicklung', 'Beispiele, die belegen, wie wir gesetzte Ziele erreichen', 'Meilensteine, die dokumentieren, was wir (...) können']"
bestens etabliert,a,,unconscious_bias,exaggerating,"['anerkannt', 'akzeptiert', 'verwurzelt', 'eingeführt', 'bekannt', 'bewährt', 'aufgebaut', 'einen Ruf (als ...) erworben haben', 'eingerichtet', 'eine stabile Grundlage geschaffen', 'sich einen Namen gemacht haben (für ...)']",[''],"['anerkannt', 'akzeptiert', 'verwurzelt', 'eingeführt', 'bekannt', 'bewährt', 'aufgebaut', 'einen Ruf (als ...) erworben haben', 'eingerichtet', 'eine stabile Grundlage geschaffen', 'sich einen Namen gemacht haben (für ...)']"
blind wie eine Fledermaus sein,i,,unconscious_bias,ability,"['schlecht sehen', 'mit schwachem Sehvermögen']",[''],"['schlecht sehen', 'mit schwachem Sehvermögen']"
heller Geist,a+s,,unconscious_bias,exaggerating,"['kreativer Kopf', 'aufmerksamer Mensch', 'Mensch mit Ideen', 'Mensch mit Blick fürs Wesentliche', 'Mensch, der Erlerntes rasch anwenden kann', 'Mensch mit Erfindungsgeist']",[''],"['kreativer Kopf', 'aufmerksamer Mensch', 'Mensch mit Ideen', 'Mensch mit Blick fürs Wesentliche', 'Mensch, der Erlerntes rasch anwenden kann', 'Mensch mit Erfindungsgeist']"
hohe Ziele,a+s,,unconscious_bias,exaggerating,"['Meilensteine', 'Etappenziele', 'Ziele, die motivieren', 'Vorhaben, die begeistern']",[''],"['Meilensteine', 'Etappenziele', 'Ziele, die motivieren', 'Vorhaben, die begeistern']"
hohes Verantwortungsbewusstsein,a+s,,unconscious_bias,exaggerating,"['Freude an Verantwortung', 'Sorgfältigkeit', 'Angehen von Aufgaben mit Umsicht und Sorgfalt', 'beim Betreuen von Aufgaben das große Ganze im Blick']",[''],"['Freude an Verantwortung', 'Sorgfältigkeit', 'Angehen von Aufgaben mit Umsicht und Sorgfalt', 'beim Betreuen von Aufgaben das große Ganze im Blick']"
"jeder, der",s,,unconscious_bias,gender_identity,"['wer', 'wenn du', 'wenn Sie', 'alle, die', 'jene, die', 'diejenigen, die']","['alle, die', 'jene, die', 'diejenigen, die']","['wer', 'wenn du', 'wenn Sie', 'alle, die', 'jene, die', 'diejenigen, die']"
kein Problem,s,,unconscious_bias,exaggerating,"['keine Umstände', 'ein Leichtes', 'ohne großen Aufwand zu erledigen', 'mit Leichtigkeit']",[''],"['keine Umstände', 'ein Leichtes', 'ohne großen Aufwand zu erledigen', 'mit Leichtigkeit']"
kluge Köpfe,a+s,,unconscious_bias,exaggerating,"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']",[''],"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']"
klugem Kopf,a+s,,unconscious_bias,exaggerating,"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']",[''],"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']"
klugen Kopf,a+s,,unconscious_bias,exaggerating,"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']",[''],"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']"
klugen Köpfen,a+s,,unconscious_bias,exaggerating,"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']",[''],"['Menschen, die mitdenken', 'Menschen, die sich mit Themen intensiv beschäftigen', 'Menschen mit verschiedenen Perspektiven', 'Menschen, die interessante Schlüsse ziehen']"
kluger Kopf,a+s,,unconscious_bias,exaggerating,"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']",[''],"['Mensch mit Durchblick', 'Mensch, der mitdenkt', 'Person, die sich mit Themen intensiv beschäftigt', 'jemand mit anderen Perspektiven', 'Mensch, der interessante Schlüsse zieht']"
mit Autismus,s,,unconscious_bias,medical_condition,"['Person auf dem Spektrum', 'autitische Person']",[''],"['Autist~in~/~Autist', 'Person auf dem Spektrum', 'autitische Person']"
nach den Sternen greifen,s+v,,unconscious_bias,exaggerating,"['sich Ziele setzen, die motivieren', 'auf gesteckte Ziele hinarbeiten', 'auf eine Vision hinarbeiten']",[''],"['sich Ziele setzen, die motivieren', 'auf gesteckte Ziele hinarbeiten', 'auf eine Vision hinarbeiten']"
ohne Problem,s,,unconscious_bias,exaggerating,"['leicht', 'reibungslos', 'praktisch', 'bequem', 'ohne großen Aufwand', 'mit Leichtigkeit']",[''],"['leicht', 'reibungslos', 'praktisch', 'bequem', 'ohne großen Aufwand', 'mit Leichtigkeit']"
schlaue Köpfe,a+s,,unconscious_bias,exaggerating,"['Leute mit Durchblick', 'aufmerksame Menschen', 'erfindungsreiche Menschen', 'Menschen mit Blick fürs Wesentliche', 'Menschen, der Erlerntes rasch anwenden können', 'Menschen, die mitdenken', 'Leute, die Erfahrung haben', 'Menschen mit verschiedenen Perspektiven |']",[''],"['Leute mit Durchblick', 'aufmerksame Menschen', 'erfindungsreiche Menschen', 'Menschen mit Blick fürs Wesentliche', 'Menschen, der Erlerntes rasch anwenden können', 'Menschen, die mitdenken', 'Leute, die Erfahrung haben', 'Menschen mit verschiedenen Perspektiven |']"
schlauer Kopf,a+s,,unconscious_bias,exaggerating,"['jemand mit Durchblick', 'aufmerksame Person', 'erfindungsreicher Menschen', 'Mensch mit Blick fürs Wesentliche', 'Person, die Erlerntes rasch anwenden kann', 'aufmerksame Person, die mitdenkt', 'jemand mit Erfahrung', 'Mensch mit verschiedenen Perspektiven']",[''],"['jemand mit Durchblick', 'aufmerksame Person', 'erfindungsreicher Menschen', 'Mensch mit Blick fürs Wesentliche', 'Person, die Erlerntes rasch anwenden kann', 'aufmerksame Person, die mitdenkt', 'jemand mit Erfahrung', 'Mensch mit verschiedenen Perspektiven']"
taub sein,i,,unconscious_bias,hearing_speech_impairment,"['gehörlos', 'Deaf', 'Mensch mit Hörverlust', 'Mensch mit eingeschränktem Hörvermögen', 'nicht hören wollen']",[''],"['gehörlos', 'Deaf', 'Mensch mit Hörverlust', 'Mensch mit eingeschränktem Hörvermögen', 'nicht hören wollen']"
zwei linke Hände haben,i,,unconscious_bias,ability,['sich ungeschickt anstellen'],[''],['sich ungeschickt anstellen']
über dem Durchschnitt,a,,unconscious_bias,exaggerating,"['viel', 'ausgesprochen', 'hochgradig', 'mehr als', 'zutiefst', 'mit Feuereifer']",[''],"['viel', 'ausgesprochen', 'hochgradig', 'mehr als', 'zutiefst', 'mit Feuereifer']"
